"MS Mincho",MSMincho,N/A,https://www.fontpalace.com/font-download/ms-mincho/,sans
"MS Gothic",MSGothic,N/A,https://www.fontpalace.com/font-download/ms-gothic/,serif
NewYork,NewYork,Apple,https://developer.apple.com/fonts/,serif
"SF Compact","SF Compact",Apple,https://developer.apple.com/fonts/,sans
"Great Vibes",GreatVibes,Robert Leuschke,https://fonts.google.com/specimen/Great+Vibes,cursive
Quarantype,Quarantype,fonderie.download,https://fonderie.download/,fantasy
Immortalist,Immortalist,"Rory King",https://rorykingetc.com/,cursive
"Orchard Linear",Orchard,"Rory King",https://rorykingetc.com/,cursive
"Inscrutable 1.0",inscrutable,"Nick DeMarco",http://demarconia.com/inscrutable.html,cursive
"FLORA AND FAUNA",floraandfauna,"Erik Merisalu",https://www.suvatypefoundry.ee/flora-and-fauna/,cursive
"Times Dot",TimesDot,"Laurel Schwulst",https://www.librarystack.org/times-dot/,serif
"AUTHENTIC Sans",AUTHENTICSans,"Christina Janus and Desmond Wong",https://authentic.website/sans,sans
Kristina,Kristina,kristinabold.com,https://www.kristinabold.com/,cursive
Wagemut,Wagemut_Outline,"Moritz Esch",https://www.moritzesch.com/wagemut,fantasy
時刻表っぽいフォント,DiaPro,"ばっと but",https://but.tw/font/,sans
イマジンヨコハマフォント,yokohama,イメージコレクターズ,https://www.city.yokohama.lg.jp/kanko-bunka/miryoku/openyokohama/process/torikumi/font.html,sans
国鉄っぽいフォント,JNRfont,旅と鉄の盲腸,http://tabi-mo.travel.coocan.jp/font.htm,sans
美咲フォント,misaki_gothic_2nd,littlelimit,https://littlelimit.net/misaki.htm,fantasy
IPAex明朝,ipaexm,文字情報技術促進協議会,https://moji.or.jp/ipafont/fontspec/,serif
IPAexゴシック,ipaexg,文字情報技術促進協議会,https://moji.or.jp/ipafont/ipaex00401/,sans
衡山毛筆フォント草書,kouzansousho,武蔵システム,https://opentype.jp/kouzansousho.htm,cursive
青柳疎石フォント,aoyagisosekifont,武蔵システム,https://opentype.jp/aoyagisosekifont.htm,cursive
Saintjean,Saintjean,"A collective",https://velvetyne.fr/fonts/saintjean/,fantasy
Typefesse,Typefesse,"Océane Juvin",https://velvetyne.fr/fonts/Typefesse/,fantasy
MESS,MESS,"Tezzo Suzuki",https://velvetyne.fr/fonts/MESS/,fantasy
"Kaeru Kaeru",kaerukaeru,"Isabel Motz",https://velvetyne.fr/fonts/kaeru-kaeru/,fantasy
TCA,TCA,"Bryce Wilner",https://github.com/brycewilner/TCA,fantasy
Section,Section,"Bryce Wilner",https://github.com/brycewilner/Section,fantasy
Pecita,Pecita,"Philippe Cochy",http://pecita.eu/,cursive
Pencerio,Pencerio,"Manushi Parikh",https://www.fontshare.com/fonts/pencerio,cursive
Avara,Avara,"Raphaël Bastide",https://raphaelbastide.com/avara/,serif
Milkman,milkman,"Giulia Boggio",https://uncut.wtf/sans-serif/milkman.html,sans
"Heritage Display",Heritage-Display,"Pixel Blackletter",https://www.behance.net/gallery/109729377/Heritage-Display-Pixel-Blackletter-(Free-Typeface),fantasy
"Jasper Display",JSPRDISPLAY,"Pixel Blackletter",https://www.behance.net/gallery/113197233/Jasper-Display-Free-Cut-Throat-Serif?tracking_source=project_owner_other_projects,fantasy
"Black Matteo Font",BlackMatteo,"Integritype Studio",https://www.fontspace.com/black-matteo-font-f65766,cursive
"Anthoni Signature Font",AnthoniSifnature,"Integritype Studio",https://www.fontspace.com/anthoni-sifnature-font-f65748,cursive
"Birthright Font",Birthright,Arendxstudio,https://www.fontspace.com/birthright-font-f64150,cursive
"Brighter Miracles",BrighterMiraclesPersonalUse,"Din Studio",https://www.fontspace.com/brighter-miracles-font-f65684,cursive
Hunterland,Hunterland,aminmario,https://www.fontspace.com/hunterland-font-f65555,cursive
Astonish,Astonish,GFRcreative,https://gfrcreative.com/,cursive
"Flumbery White",Flumberywhitedemo,"Letterhend Studio",https://www.letterhend.com/,cursive
Etiquette,Etiquette,Arendxstudio,https://arendxfont.com/,cursive
"13 Inka",13Inka,"Zane Townsend",https://www.fontspace.com/13-inka-font-f64628,fantasy
Roashe,RoashePersonalUse,"Din Studio",https://din-studio.com/,serif
"Real Magic",RealMagicPersonalUse,"Din Studio",https://din-studio.com/,serif
Typoliner,Typoliner,"Raphaël Wittmann",https://raphaelwittmann.net/typoliner-rw01-free-font/,sans
"Jabin Typeface",Jabin-Typeface,"Frida Medrano",http://www.fridamedrano.com/jabin.html,fantasy
Movement,Movement_Desktop,"NM type",https://www.nmtype.com/movement/,cursive
emotional,emotional,"Promphan Suksumek",http://www.emotionaltype.org/,sans
"Violet Sans",VioletSans,"Violet Office",https://violetoffice.com/work/violet-sans,sans
